SEASON,DATE,ROUND,BOWL,CFP TV RATINGS HISTORY SportsMediaWatch.com MATCHUP,MARGIN,Network,Nielsen,Viewers,Format
2022,Saturday 12.31.22,Semi,Peach,GEORGIA / OHIO STATE,UGA +1,ESPN Megacast,9.8,22446000,CFP
2022,Saturday 12.31.22,Semi,Fiesta,TCU / MICHIGAN,TCIJ+6,ESPN Megacast,10,21701000,CFP
2022,Monday 01.09.23,NC,CFPNC,GEORGIA / TCU,UGA +58,ESPN Megacast,8.7,17223000,CFP
2022,Monday 01.02.23,NY6,Rose,PENN STATE / UTAH,PSU +14,ESPN,5.4,10187000,CFP
2022,Saturday 12.31.22,NY6,Sugar,ALABAMA / KANSAS STATE,ALA +25,ESPN,4.8,9135000,CFP
2022,Friday 12.30.22,NY6,Orange,TENNESSEE / CLEMSON,TEN +17,ESPN,4.6,8590000,CFP
2022,Monday 01.02.23,NY6,Cotton,TULANE / USC,TUL+I,ESPN,2.3,4165000,CFP
2021,Monday 01.10.22,NC,CFPNC,GEORGIA / ALABAMA,UGA +15,ESPN Megacast,12.1,22563000,CFP
2021,Friday 12.31.21,Semi,Orange,GEORGIA / MICHIGAN,UGA +23,ESPN Megacast,8.1,17192000,CFP
2021,Friday 12.31.21,Semi,Cotton,ALABAMA / CINCINNATI,ALA +21,ESPN Megacast,8.6,16647000,CFP
2021,Saturday 01.01.22,NY6,Rose,OHIO STATE / UTAH,OSU +3,ESPN,8.2,16631000,CFP
2021,Saturday 01.01.22,NY6,Sugar,BAYLOR / MISSISSIPPI,BAY +14,ESPN,5.1,9785000,CFP
2021,Saturday 01.01.22,NY6,Fiesta,OKLAHOMA STATE / NOTRE DAME,OKST +2,ESPN,4.2,7957000,CFP
2021,Thursday 12.30.21,NY6,Peach,MICHIGAN STATE / PITTSBURGH,MSU +10,ESPN,4,7646000,CFP
2020,Friday 01.01.21,semi,Sugar,OHIO STATE / CLEMSON,OSU +21,ESPN Megacast,9.8,19149000,CFP
2020,Friday 01.01.21,Semi,Rose,ALABAMA / NOTRE DAME,ALA +17,ESPN Megacast,9.6,18893000,CFP
2020,Monday 01.11.21,NC,CFPNC,ALABAMA / OHIO STATE,ALA +28,ESPN Megacast,10.3,18653000,CFP
2020,Friday 01.01.21,NY6,Peach,GEORGIA / CINCINNATI,UGA +3,ESPN Megacast,4.9,8727000,CFP
2020,Saturday 01.02.21,NY6,Orange,TEXAS A&M / NORTH CAROLINA,A&M +14,ESPN,4.3,7577000,CFP
2020,Saturday 01.02.21,NY6,Fiesta,IOWA STATE / OREGON,ISU +17,ESPN,3.8,6679000,CFP
2020,Wednesday 12.30.20,NY6,Cotton,OKLAHOMA / FLORIDA,OU +35,ESPN,3.2,5766000,CFP
2019,Monday 01.13.20,NC,CFPNC,I-SU / CLEMSON,LSI] +17,ESPN Megacast,14.3,25588000,CFP
2019,Saturday 12.28.19,Semi,Fiesta,CLEMSON / OHIO STATE,CLEM +6,ESPN ESPN2,11.1,21151000,CFP
2019,Saturday 12.28.19,Semi,Peach,I-SU / OKLAHOMA,LSI] +35,ESPN ESPN2,9.5,17214000,CFP
2019,Wednesday 01.01.20,NY6,Rose,OREGON / WISCONSIN,ORE +1,ESPN,8.7,16304000,CFP
2019,Wednesday 01.01.20,NY6,Sugar,GEORGIA / BAYLOR,UGA +12,ESPN,5.7,10224000,CFP
2019,Saturday 12.28.19,NY6,Cotton,PENN STATE / MEMPHIS,PSU +14,ESPN,3.8,6220000,CFP
2019,Monday 12.30.19,NY6,Orange,FLORIDA / VIRGINIA,UF +8,ESPN,3.5,6067000,CFP
2018,Monday 01.07.19,NC,CFPNC,CLEMSON / ALABAMA,CLEM +28,ESPN Megacast,13.8,25280000,CFP
2018,Saturday 12.29.18,Semi,Orange,ALABAMA / OKLAHOMA,ALA +11,ESPN ESPN2,9.9,19069000,CFP
2018,Saturday 12.29.18,semi,Cotton,CLEMSON / NOTRE DAME,CLEM +27,ESPN ESPN2,9.4,16809000,CFP
2018,Tuesday 01.01.19,NY6,Rose,OHIO STATE / WASHINGTON,OSU +5,ESPN,8.9,16781000,CFP
2018,Tuesday 01.01.19,NY6,Sugar,TEXAS / GEORGIA,TEX+7,ESPN,7.3,13298000,CFP
2018,Tuesday 01.01.19,NY6,Fiesta,I-SU / UCF,LSI] +8,ESPN,4.7,8471000,CFP
2018,Saturday 12.29.18,NY6,Peach,FLORIDA / MICHIGAN,UF +26,ESPN,5,8366000,CFP
2017,Monday 01.08.18,NC,CFPNC,ALABAMA / GEORGIA,ALA +3 ,ESPN Megacast,15.6,28443000,CFP
