Category,Ads Per Category,Ad Time Per Category,Percentage of Total Ads,Percentage of Ad Time
Bank,10,300,7.41%,8.50%
Business Service,11,315,8.15%,8.92%
Car,10,300,7.41%,8.50%
Charity/Non-Profit,4,120,2.96%,3.40%
College,4,120,2.96%,3.40%
Consumer Good,14,330,10.37%,9.35%
Entertainment,13,365,9.63%,10.34%
Food/Drink,38,870,28.15%,24.65%
Insurance,9,225,6.67%,6.37%
Pharmaceutical,1,15,0.74%,0.42%
Phone,8,255,5.93%,7.22%
Real Estate/Home,4,90,2.96%,2.55%
Tech,3,90,2.22%,2.55%
Travel,6,135,4.44%,3.82%
,,,,
